Supplementary Data Sheet 1 Trait values for the 7686 rice varieties studied.,,,,,,,,,,,,,
Varieties,Ecotype,Province of release,Year of release,Yield (t/ha),Growth period (d),Height (cm),Pannicle length (cm),Panicle number (million/ha),Seed setting rate (%),1000-grain-weight (g),Grains per panicle,Seed length/width ratio,Filled grain number
gui shan ai ,Indica inbred,Guangdong,1988,5.57625,136,102.5,18,3.45,84.6,21.4,90.9,NA,76.9014
hu jing kang ,Japonica inbred,Shanghai,1988,7.908,156,105,15,NA,85,26,90,NA,76.5
jiu dao 9 hao ,Japonica inbred,Jilin,1988,7.2424,137,105,NA,NA,90,27,NA,NA,NA
yan jing 15 hao ,Japonica inbred,Jilin,1988,5.3625,115,70,14,NA,90,25,NA,1.45,NA
yan jing 14 hao ,Japonica inbred,Jilin,1988,6.45,120,80,13,NA,90,27.5,NA,1.76,NA
zhong xi 8215,Japonica inbred,Tianjin,1989,7.305,165,102.5,17.5,NA,NA,25.5,NA,NA,NA
zhongzuo321,Japonica inbred,Tianjin,1989,7.1115,166,96,17.5,NA,NA,25.5,NA,NA,NA
zhong hua 11 hao ,Japonica inbred,Tianjin,1989,7.086,160,112.5,20,NA,NA,NA,NA,NA,NA
zhong xi 8121,Japonica inbred,Tianjin,1989,7.0035,165,102.5,17.5,NA,NA,25.5,NA,NA,NA
xing shi ,Japonica inbred,Beijing,1989,7.5,165,110,19,NA,95,25.5,NA,NA,NA
han you xiang qing ,Japonica hybrid,Shanghai,1989,8.2185,160,105,NA,2.775,NA,25,NA,NA,NA
dong nong 415,Japonica inbred,Heilongjiang,1989,7.215,NA,87,16.5,NA,NA,26.5,NA,NA,NA
hua pei 528,Japonica inbred,Shanghai,1989,6.4275,125,82.5,19,2.85,85,27.5,90,NA,76.5
ji jing 63 hao ,Japonica inbred,Jilin,1989,7.5315,138,95,NA,NA,95,29.5,NA,NA,NA
he 16,Japonica inbred,Yunnan,1989,7.5,161.5,95,NA,NA,85.45,30.5,NA,NA,NA
xiang zao xian9 hao ,Indica inbred,Hunan,1989,6.9285,108,80,NA,4.35,90,23,NA,NA,NA
yan jing 16 hao ,Japonica inbred,Jilin,1989,6.2288,128,90,NA,NA,90,25,NA,NA,NA
mu dan jiang 19 hao ,Japonica inbred,Heilongjiang,1989,7.1715,NA,92,17.45,NA,NA,27,NA,NA,NA
175xuan 3,Japonica inbred,Yunnan,1989,7.58805,185,111,21,NA,NA,28.4,NA,NA,NA
feng you 6 hao ,Japonica hybrid,Shandong,1989,9,167.5,95,19,NA,80.5,NA,120,NA,96.6
zhong bai 4 hao ,Japonica inbred,Beijing,1989,9,165,107.5,NA,NA,NA,NA,NA,NA,NA
shan you 3550,Indica hybrid,Guangdong,1990,5.73825,127.5,100,21,2.46,82.9,24.5,142.1,NA,117.8009
shan you 63,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1990,7.236,NA,105,NA,2.7,80,29,NA,NA,NA
shan you 64,Indica hybrid,Hunan,1990,7.5,129,92.5,22.5,NA,79,27.5,NA,NA,NA
jing dao 3 hao ,Japonica inbred,Tianjin,1990,7.074,140,100,15.5,NA,NA,25.5,NA,NA,NA
jin dao 521,Japonica inbred,Tianjin,1990,6.8265,145,97.5,17,NA,NA,28.5,NA,NA,NA
hong xing 16 hao ,Japonica inbred,Beijing,1990,6.75,140,NA,NA,NA,NA,NA,NA,NA,NA
qing liu ai 1 hao ,Indica inbred,Guangdong,1990,5.83875,136,102,21.4,3.3,75.5,22.2,109.9,NA,82.9745
he xi 4 hao ,Japonica inbred,Yunnan,1990,7.5,182.5,105,19,NA,NA,24,NA,NA,NA
shuang c hao 25,Indica inbred,Guangdong,1990,6.2445,136,95,20,3.39,82.4,24.8,100.2,NA,82.5648
ning jing 11 hao ,Japonica inbred,Ningxia,1990,11.2125,150,95,15,NA,NA,25,NA,NA,60
xiu you 57,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1990,9,162.5,100,20,NA,80,26.5,NA,NA,NA
xiang jing 832,Japonica inbred,Shanghai,1990,6.75,155,105,NA,NA,90,27.5,100,NA,90
mei san wu 2 hao ,Indica inbred,Guangdong,1990,5.586,125,92.5,19.3,3.675,86,22.5,NA,NA,83.8
ning jing 12 hao ,Japonica inbred,Ningxia,1990,10.0818,135,80,NA,NA,NA,28,NA,NA,NA
chu jing 8 hao ,Japonica inbred,Yunnan,1990,7.6395,166,87.5,NA,NA,82.5,24,NA,NA,NA
long jing 2 hao ,Japonica inbred,Heilongjiang,1990,5.5482,NA,83,NA,NA,NA,27,NA,NA,NA
jiu dao 11 hao ,Japonica inbred,Jilin,1990,7.5158,140,95,17,NA,90,25,NA,NA,NA
hei jing 5 hao ,Japonica inbred,Heilongjiang,1990,4.6665,NA,80,NA,NA,NA,28,NA,NA,NA
ning nuo 3 hao ,Japonica inbred,Ningxia,1990,10.38,150,80,16,NA,88.5,NA,NA,NA,NA
han you 1027,Japonica hybrid,Shanghai,1990,8.283,158,100,17,3.225,85,27.5,NA,NA,NA
liao jing 421,Japonica inbred,Liaoning,1990,9,155,100,NA,NA,NA,27.8,NA,NA,NA
chu jing 6 hao ,Japonica inbred,Yunnan,1990,7.554,172.5,97.5,NA,NA,NA,25,NA,2,NA
he xi 10 hao ,Japonica inbred,Yunnan,1990,8.007,173,100,NA,NA,NA,23.5,NA,NA,NA
he xi 5 hao ,Japonica inbred,Yunnan,1990,7.5,182.5,100,18.5,NA,NA,22.5,NA,NA,NA
s hao zao xian1 hao ,Indica inbred,Hunan,1990,7.05,115,85,18,NA,83.2,25,NA,NA,NA
jin zhu 1 hao ,Japonica inbred,Tianjin,1990,7.158,142.5,95,18,NA,94,25.5,NA,NA,NA
teng xi 138,Japonica inbred,Jilin,1990,8.0633,132,93,NA,NA,95,25,NA,NA,NA
zhen gui ai 1 hao ,Indica inbred,Guangdong,1990,6.066,127.5,95,20,3.27,82.9,20.6,NA,NA,NA
guang you qing ,Indica hybrid,Guangdong,1991,7.1775,136,103.5,19,2.475,87,25,132,NA,114.84
shan you 64,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1991,6.75,113,84,21.25,NA,80,26.5,100,NA,80
xie you 46,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1991,6,127.5,92.5,NA,3.45,88.5,28.75,110,NA,97.35
Dyou 63,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1991,7.5,147.5,105,25,2.625,89,28,NA,NA,NA
liao yan 2 hao ,Japonica inbred,Tianjin,1991,7.2285,147.5,NA,20,4.5,92.5,25.5,NA,NA,NA
qi shan zhan ,Indica inbred,Guangdong,1991,5.66325,132.5,92.5,20,3.6,91,18,96,NA,87.36
teng xi 138,Japonica inbred,Heilongjiang,1991,7.2981,NA,88,NA,NA,NA,25,NA,NA,NA
liao kai 79,Japonica inbred,Liaoning,1991,9.027,156,97.5,19,NA,NA,27.5,NA,NA,NA
luhong zao 1 hao ,Indica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1991,6.75,113,75,NA,NA,NA,28.5,NA,NA,NA
wan hua ai 1 hao ,Indica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1991,6,136,95,NA,3.075,85,23.4,NA,NA,NA
tong xi 103,Japonica inbred,Jilin,1991,8.359,136,100,NA,NA,NA,25,NA,NA,NA
xiang zao xian11 hao ,Indica inbred,Hunan,1991,7.023,109,80,NA,4.1,NA,28,NA,2.1,NA
he xi 2 hao ,Japonica inbred,Yunnan,1991,6.765,167,80,15.5,NA,NA,25,NA,NA,NA
qiu tian 32,Japonica inbred,Jilin,1991,7.5945,140,97,18.2,NA,94,27.5,NA,NA,NA
he xi 22 hao ,Japonica inbred,Yunnan,1991,8.715,167.5,105,NA,5.1,90,26,NA,NA,NA
yue gui 146,Indica inbred,Guangdong,1991,6.246,131,95,19.8,3.27,89.4,21.7,104.9,NA,93.7806
yan jing 18 hao ,Japonica inbred,Jilin,1991,6.687,136,83,14,NA,NA,25,NA,NA,NA
teng 832,Japonica inbred,Jilin,1991,8.3235,142,NA,18,NA,83.5,25,NA,NA,NA
zhan jing 6 hao ,Japonica inbred,Yunnan,1991,6.4545,182.5,110,23,NA,NA,29,NA,1.91,105
kun jing 4 hao ,Japonica inbred,Yunnan,1991,7.425,165,90,20,NA,89,30,NA,NA,NA
gan zao xian21 hao ,Indica inbred,Jiangxi,1991,11.25,115,89,NA,4.5,81.5,30.1,NA,NA,NA
jing hua 101,Japonica inbred,Beijing,1991,9,175,112.5,NA,NA,79,29,NA,NA,NA
xie you 3550,Indica hybrid,Guangdong,1992,5.799,130,97.5,NA,2.625,84,26.5,130,NA,109.2
heng liang you 1 hao ,Indica hybrid,Hunan,1992,8.25,117,97.5,NA,NA,70,28,NA,NA,NA
wei you 481,Indica hybrid,Guizhou,1992,8.4165,155,88,23.1,NA,78.7,27.1,NA,NA,NA
xiu shui 122,Japonica inbred,Shanghai,1992,7.4865,152.5,95,14,NA,86,26.5,NA,NA,NA
long jing 3 hao ,Japonica inbred,Heilongjiang,1992,6.6412,NA,82.5,NA,NA,90,27,NA,NA,NA
jin dao 681,Japonica inbred,Tianjin,1992,7.827,165,90,15,NA,80,23,NA,NA,NA
jing hua 103,Japonica inbred,Beijing,1992,6.75,132.5,100,NA,NA,87.5,25.5,NA,NA,NA
ying feng 1 hao ,Japonica inbred,Beijing,1992,7.5,145,87.5,NA,NA,95,28,NA,NA,NA
jing xian89,Indica inbred,Guangdong,1992,6.123,132,98,NA,3.3,80,19.5,137,NA,109.6
dong nong 416,Japonica inbred,Heilongjiang,1992,7.5264,NA,87.6,NA,NA,84,26.3,NA,NA,NA
liao jing 326,Japonica inbred,Liaoning,1992,7.3125,160,105,19,NA,NA,26,NA,NA,NA
sui jing 1 hao ,Japonica inbred,Heilongjiang,1992,7.4969,NA,85,NA,NA,83,27,NA,NA,NA
lu qing zao 1 hao ,Indica inbred,Guangdong,1992,5.6553,108,88,NA,4.05,79,26.5,82,NA,64.78
ning jing 14 hao ,Japonica inbred,Ningxia,1992,10.983,140,80,14,NA,NA,27,NA,NA,NA
san yang ai 1 hao ,Indica inbred,Guangdong,1992,6.19125,129,95,NA,3.45,74,21,122,NA,90.28
jiu dao 12 hao ,Japonica inbred,Jilin,1992,8.0535,NA,100,16.5,NA,NA,25,NA,NA,NA
wu gong 1 hao ,Indica inbred,Shanghai,1992,5.25,125,77.5,18,3,80,20,90,NA,72
ning jing 13 hao ,Japonica inbred,Ningxia,1992,11.2155,135.5,90,10,NA,NA,28,NA,NA,NA
ji 87-1,Japonica inbred,Ningxia,1992,10.7865,NA,83,14.5,NA,NA,26,NA,NA,NA
teng xi 137,Japonica inbred,Heilongjiang,1992,7.3534,NA,85,NA,NA,NA,25,NA,NA,NA
leng 11-2,Japonica inbred,Jilin,1992,7.1535,137.5,97.5,NA,NA,NA,26,NA,NA,NA
hei jing 6 hao ,Japonica inbred,Heilongjiang,1992,6.3323,NA,92.5,NA,NA,NA,25,NA,NA,NA
yun jing 23 hao ,Japonica inbred,Yunnan,1992,7.782,180,95,20,3.675,NA,26,NA,NA,100
yin gui zhan ,Indica inbred,Guizhou,1992,6.9525,136,95,18.5,3,86.5,28.5,NA,3.3,130
xing yu 873,Indica inbred,Guizhou,1992,6.9255,140,100,20,NA,80,25.6,NA,NA,NA
gui fu xian2 hao ,Indica inbred,Guizhou,1992,5.931,144,90,21.2,3.75,82,33,NA,3.1,NA
teng 747,Japonica inbred,Jilin,1992,8.1795,142,92,19,NA,90,25,NA,NA,NA
te san ai 2 hao ,Indica inbred,Guangdong,1992,6.6825,136,97.5,NA,3.15,86,26,109,NA,93.74
shan you gui 99,Indica hybrid,Hunan,1993,7.5,122.5,105,NA,NA,87,26.5,NA,NA,NA
guang you 4 hao ,Indica hybrid,Guangdong,1993,7.227,132.5,105,NA,3.135,85,23.9,143.5,NA,121.975
��you 323,Indica hybrid,Hunan,1993,7.245,116,86,NA,NA,77.6,25.5,NA,NA,NA
