Supplementary Data Sheet 1 Trait values for the 7686 rice varieties studied.,,,,,,,,,,,,,
Varieties,Ecotype,Province of release,Year of release,Yield (t/ha),Growth period (d),Height (cm),Pannicle length (cm),Panicle number (million/ha),Seed setting rate (%),1000-grain-weight (g),Grains per panicle,Seed length/width ratio,Filled grain number
gao you hong 88,Indica hybrid,Jiangxi,2015,8.19855,116.2,107.3,22.4,2.835,78.1,29.4,143.2,3.2,111.7
wu you 5412,Indica hybrid,Jiangxi,2015,8.19285,116.6,96.3,19.5,3.255,82.8,22,146.9,2.8,121.6
an you hang 1573,Indica hybrid,Jiangxi,2015,8.45355,115.7,99.3,20.9,3.21,84.2,24.1,130.4,3.2,109.8
lin you hua 9,Indica hybrid,Jiangxi,2015,8.1528,115.9,103.5,22.3,2.97,79.4,22.2,163.3,3.7,129.6
jin dao 15 hao ,Japonica inbred,Shanxi,2015,9.7335,158,96.4,19.4,NA,91.8,24.2,NA,2.2,NA
jin yuan 89,Japonica inbred,Tianjin,2015,10.959,173,104.2,19.5,2.055,93.1,30.8,185.4,NA,172.6074
wu you 7 hao ,Indica hybrid,Jiangxi,2015,8.26005,113.6,101.5,21.4,3.225,87.1,24.1,133.8,3,116.5
wu you 6217,Indica hybrid,Jiangxi,2015,8.21355,113.9,97.8,21.2,3.42,83.8,26,120.6,2.9,101.1
wu you 325,Indica hybrid,Jiangxi,2015,8.16435,116.1,97.7,21.6,3.435,80.2,23.6,141.1,2.8,113.2
wu you 028,Indica hybrid,Jiangxi,2015,8.2314,116.9,96.3,21,3.225,81.4,25.3,132.9,3,108.2
wu you 868,Indica hybrid,Jiangxi,2015,7.7334,116.9,98.3,21.1,2.805,79.8,25,139.6,2.8,111.4
wu you 105,Indica hybrid,Jiangxi,2015,7.5942,118.2,98.1,20.5,3.39,82,22.7,128.1,2.9,105.1
tai you 98,Indica hybrid,Jiangxi,2015,7.9104,118.3,100.9,21.6,3.345,83.1,23.4,125.5,3.7,104.3
wu you 821,Indica hybrid,Jiangxi,2015,7.6416,115.4,99.2,20.8,2.88,82.5,26.1,136.4,2.8,112.5
zhan liang you 28,Indica hybrid,Hunan,2015,8.18685,118.5,105.7,NA,3.15,83.7,26.5,133.9,3.2,112.0743
long jing you 1 hao ,Indica hybrid,Hunan,2015,7.65015,121.5,112.2,NA,2.745,82.2,28.2,144,3.2,118.368
liang you 336,Indica hybrid,Hunan,2015,8.3598,121.5,103.1,NA,3.3,80.7,23.8,147.7,3.2,119.1939
jiu liang you 1179,Indica hybrid,Hunan,2015,8.00385,117.6,106.9,NA,2.85,79.8,28.2,149.9,3,119.6202
he you 50,Indica hybrid,Hunan,2015,8.3394,122,104.7,NA,2.715,82.7,30.6,141,3.2,116.607
Zliang you 89,Indica hybrid,Hunan,2015,8.02875,119.5,105,NA,2.85,79.2,23.7,156,3.2,123.552
yue you 3700,Indica hybrid,Hunan,2015,7.59495,111.1,101.7,NA,2.805,83.9,26.9,135,3.2,113.265
tao you xiang zhan ,Indica hybrid,Hunan,2015,7.64895,113.4,100.8,NA,3.3,79.7,28.8,119.5,3.4,95.2415
sheng tai you 352,Indica hybrid,Hunan,2015,7.68465,110,96.3,NA,3.36,79.5,25.9,117.4,3.3,93.333
shen you 9559,Indica hybrid,Hunan,2015,8.0019,113,102.3,NA,NA,84.6,27.1,126.6,3.2,107.1036
shen you 513,Indica hybrid,Hunan,2015,7.60725,113.8,99.5,NA,NA,82.3,25.6,137.1,3.2,112.8333
long xiang you 7 hao ,Indica hybrid,Hunan,2015,7.7616,111.1,104,NA,3.195,82.4,26.6,127.4,3.5,104.9776
rong you 233,Indica hybrid,Hunan,2015,8.33955,114.1,88.9,NA,3.375,82.6,27.4,117.3,3,96.8898
wu feng you 317,Indica hybrid,Hunan,2015,8.35605,114,91.5,NA,3.315,81.5,27.7,118.7,3.2,96.7405
zhong lian you 589,Indica hybrid,Hunan,2015,8.6241,139.3,114.5,NA,2.235,81.6,27.8,176.5,3.4,144.024
Gliang you 1 hao ,Indica hybrid,Hunan,2015,9.0339,137.2,114.6,NA,2.07,82.7,28,187.7,3.2,155.2279
Yliang you 837,Indica hybrid,Hunan,2015,9.00465,144.4,108.2,NA,NA,79.5,25.9,186.5,3.2,148.2675
long liang you 018,Indica hybrid,Hunan,2015,8.65815,141.4,110.2,NA,2.28,83.3,24.1,184.4,3.5,153.6052
san liang you 1813,Indica hybrid,Hunan,2015,8.60805,143.1,114.5,NA,2.22,80.1,27.5,192,3.2,153.792
shen liang you 1813,Indica hybrid,Hunan,2015,9.19725,146.6,106.8,NA,2.235,81.2,25.3,197.5,3.2,160.37
shen liang you 876,Indica hybrid,Hunan,2015,8.96925,142.4,108.3,NA,2.4,84.7,25.6,175.9,3.4,148.9873
zhan liang you 4011,Indica hybrid,Hunan,2015,9.06645,138.6,114.5,NA,2.4,84.4,27.5,167.4,3.3,141.2856
jiu liang you 47,Indica hybrid,Hunan,2015,7.82625,112.8,106.3,NA,2.94,86.6,26.9,140,3.1,121.24
jiu liang you 3 hao ,Indica hybrid,Hunan,2015,7.584,112.1,98,NA,3.45,84.4,26,124.1,3,104.7404
jian you 2 hao ,Indica hybrid,Hunan,2015,7.67175,112.9,102.6,NA,3.495,78.8,24.3,142.4,3.2,112.2112
Hyou 7601,Indica hybrid,Hunan,2015,7.5972,111.5,104.6,NA,3.105,84.5,28.2,118.4,3.4,100.048
Dliang you 71,Indica hybrid,Hunan,2015,7.99695,114,106.4,NA,3.24,84.8,29.5,113.2,3.2,95.9936
xiang liang you 1 hao ,Indica hybrid,Hunan,2015,9.22665,123.6,118.6,NA,2.865,81.3,24.3,174.9,3.4,142.1937
jian liang you hua zhan ,Indica hybrid,Hunan,2015,9.039,125.5,112.4,NA,3.045,77,23.4,181,3.1,139.37
lv you 4923,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,8.907,153.8,110.7,25.6,2.22,78.8,29.9,185.5,3.1,146.174
peng liang you 187,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,8.739,153.2,115,24.4,2.19,82,27.1,183,3.1,150.06
rong 18you 2348,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,8.9595,151.5,109.9,25.5,2.22,83.3,30.5,172.8,2.8,143.9424
nei xiang 6you 9 hao ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.132,155.9,112.4,26.6,2.235,83.4,31.7,164.7,2.7,137.3598
xi da you 216,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.051,155.8,119,26.9,2.115,80.2,30.5,189.1,3,151.6582
yi xiang you 196,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,8.97,154.3,116.5,27.2,2.145,79.7,32.8,174.9,2.9,139.3953
rong 3you 533,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.0075,153.2,120.2,26,2.1,80.2,30.8,191,2.9,153.182
chuan gu you 23,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.021,155.1,115.5,26.2,2.19,80.3,30.4,182.7,2.6,146.7081
chuan nong you 3203,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,8.901,155.9,113.7,24.8,2.325,82,29.9,172,3,141.04
shu you 217,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.093,155.4,113.3,25.4,2.265,83.1,29.9,176.2,3.1,146.4222
shen you 9597,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.357,133,119.2,23.9,2.7,86.6,25.3,171.5,3.1,148.519
shen liang you 116,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.468,134.9,113.6,25.7,2.535,86.7,25.1,184.7,3.2,160.1349
shen liang you 9310,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.39,136.7,118.6,25.5,2.595,83.8,25.9,179.5,3,150.421
ke liang you 889,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.555,136.8,122.6,25.3,2.625,84.3,24.7,183.3,3,154.5219
hui liang you 898,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.222,133.6,107.9,23.8,2.64,83.8,23.5,189.7,3.2,158.9686
Fliang you 6876,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.1725,136.6,116.9,25.2,2.295,80.3,26.8,201.2,3.2,161.5636
Yliang you 2008,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.3135,132.2,113.7,26.1,2.745,85.7,26.6,158,3.1,135.406
shen you 9519,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.3825,136,121.8,25.4,2.535,85.3,26.3,175.9,3.1,150.0427
xin liang you 998,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.237,131.9,118.5,23.4,2.46,83.6,28,175.2,3.1,146.4672
shen liang you 862,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.4545,134,111.1,25,2.715,85.1,24.6,179.9,3.2,153.0949
an feng you hua zhan ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,8.451,116.8,105.3,21,3.36,83.6,25.1,137.3,3.1,114.7828
rong you 308,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,8.7,117.4,99.8,20.5,3.15,82,25.6,150.9,3.1,123.738
shen you 9566,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,8.733,117.3,103.3,21.3,3.15,84.5,26.5,136.8,3.3,115.596
liang you 988,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,8.6685,114.1,112.9,22.7,2.88,82.6,26.1,163.6,3.2,135.1336
chuan gu you T16,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.7665,150.8,119,25.7,2.565,82.1,29.7,NA,3.2,NA
zhu liang you 47,Indica hybrid,Hubei,2015,7.4397,111.3,97,21.5,3.21,80.5,26.47,121.5,3.3,97.8
ling liang you 7421,Indica hybrid,Hubei,2015,7.4073,110.1,81.6,20.6,3.54,82.4,26.85,109,3.2,89.8
quan liang you 1 hao ,Indica hybrid,Hubei,2015,9.4152,130.5,119.8,24.3,2.415,86.5,28.88,172.4,3,149.1
Yliang you 585,Indica hybrid,Hubei,2015,9.73305,135.1,117.8,26.5,2.835,84.9,26.58,176,3.1,149.4
shen liang you 841,Indica hybrid,Hubei,2015,9.90705,136.9,117.5,25.9,2.76,84.3,26.92,168.6,3.5,142.2
liang you 622,Indica hybrid,Hubei,2015,9.78405,140.1,121,24.5,2.475,81.3,28.12,193.3,3.2,157.2
ju 2you 108,Indica hybrid,Hubei,2015,9.48945,138,122.3,27.2,2.37,80.7,29.65,182.8,3.1,147.5
z hao you 5431,Indica hybrid,Hubei,2015,9.6351,142.1,127.1,27.6,2.535,83.6,26.33,188.5,3.8,157.6
dong 2you 636,Indica hybrid,Hubei,2015,8.26515,151.9,108.5,25.5,2.49,84.3,31.5,142.2,3,119.9
chuan gu you 8784,Indica hybrid,Hubei,2015,8.5812,159.3,95.8,22.8,2.865,88.3,28.8,121.9,2.9,107.6
luxiang you 8691,Indica hybrid,Hubei,2015,8.17335,118.2,98.3,23.1,3.3,77.6,25.57,143.4,3.4,111.3
Ayou 442,Indica hybrid,Hubei,2015,8.1288,114.1,99.3,23.9,3.045,80,26.64,NA,3.3,118.2
chuan xiang you 156,Indica hybrid,Henan,2015,8.5575,147,122.5,NA,2.4,78.6,30.45,173.2,3,136.1352
guang liang you 998,Indica hybrid,Henan,2015,8.7375,141,116,24.75,NA,79.15,27.65,184.9,3.1,146.34835
tian long you 1340,Indica hybrid,Henan,2015,8.7075,145,128.7,24.9,2.4,80.4,29.5,184,2.3,147.936
shen liang you 814,Indica hybrid,Henan,2015,8.8125,147.5,118.15,24.75,2.64,82.65,25.6,177.6,3.2,146.7864
jia you 968,Indica hybrid,Sichuan,2015,8.61555,146.1,117.9,26.1,2.16,85.8,28,NA,3,NA
gang 8you 316,Indica hybrid,Sichuan,2015,8.50245,144.2,123.3,25,1.875,85.6,28.2,NA,2.5,NA
rong you 808,Indica hybrid,Sichuan,2015,8.57415,146.2,122.7,25.5,2.025,82.5,29,NA,2.9,NA
��you 558,Indica hybrid,Sichuan,2015,8.5509,147.6,127.5,26,2.085,86.4,29,NA,2.4,NA
gang you 558,Indica hybrid,Sichuan,2015,8.09625,144.3,121.8,25.7,2.07,84.9,29.1,NA,2.5,NA
rong 18you 1015,Indica hybrid,Sichuan,2015,8.11725,144.7,116,25.6,2.07,85.1,29.8,NA,3,NA
yi xiang you 2905,Indica hybrid,Sichuan,2015,7.9767,148.6,118.4,26.6,NA,82.7,26.5,NA,3,NA
jing3you 177,Indica hybrid,Sichuan,2015,8.0268,145.8,111.6,24.4,2.295,86.6,26.4,NA,3.1,NA
rong you 3324,Indica hybrid,Sichuan,2015,7.9557,142.7,130,26.2,2.04,82.8,27.7,NA,2.7,NA
chuan lv you 188,Indica hybrid,Sichuan,2015,8.20455,144.2,120.5,25.6,2.13,80.4,28,NA,2.9,NA
rong 18you 9 hao ,Indica hybrid,Sichuan,2015,8.0442,144,117.9,24.8,2.145,81,29.2,NA,2.8,NA
chuan gu you 208,Indica hybrid,Sichuan,2015,8.11755,145.6,119.5,27,2.1,82.3,29.4,NA,2.7,NA
chuan gu you 908,Indica hybrid,Sichuan,2015,8.2428,147.9,121.8,26.5,2.115,78.2,29.1,NA,2.9,NA
mian you 5323,Indica hybrid,Sichuan,2015,8.0307,146.8,121.7,25.2,2.07,81.8,27.2,NA,2.8,NA
shu you 727,Indica hybrid,Sichuan,2015,8.21895,145,118.2,25.2,1.92,87.1,29.4,NA,2.4,NA
chuan gu you 1800,Indica hybrid,Sichuan,2015,8.4213,150.6,119.6,26.4,2.205,74.8,31.5,NA,3,NA
tian you 863,Indica hybrid,Sichuan,2015,7.83105,144.1,105.6,23.3,2.13,77.6,28.2,NA,2.9,NA
gu you 3663,Indica hybrid,Sichuan,2015,8.2041,142.4,108.8,25.1,2.055,86.6,30.3,NA,2.3,NA
gang 8you 361,Indica hybrid,Sichuan,2015,6.95955,155.1,93.2,23,2.385,85.3,26.9,NA,2.7,NA
chuanzuoyou 8727,Indica hybrid,Sichuan,2015,7.02765,150.3,81.9,21.2,2.295,86.2,28.8,NA,2.4,NA
long liang you 1025,Indica hybrid,Guizhou,2015,9.4575,156.7,114.6,NA,2.295,81.4,31.6,NA,2.9,NA
qian you 790,Indica hybrid,Guizhou,2015,9.48825,158.5,114.4,25.8,2.25,79.1,28.7,NA,2.9,NA
liu you 385,Indica hybrid,Guizhou,2015,9.4605,157,115.8,26.3,2.085,78.7,30.7,NA,2.9,NA
qian you 785,Indica hybrid,Guizhou,2015,9.21225,159.9,118.8,26.2,2.295,75.9,29.6,NA,3,NA
ao you 818,Indica hybrid,Guizhou,2015,9.5094,158.3,112.2,25.3,2.07,76.7,31.1,NA,2.8,NA
gui feng you 785,Indica hybrid,Guizhou,2015,9.50265,158.5,117.4,26.3,2.175,79.8,30.5,NA,3,NA
Gyou 422,Indica hybrid,Guizhou,2015,10.2858,154.9,97.3,23.5,2.445,80.9,27.7,NA,2.6,NA
shen you 95-669,Indica hybrid,Hainan,2015,6.89625,113.5,109.9,21,2.355,81.6,28.6,120.1,NA,98.0016
bo ��you 33,Indica hybrid,Hainan,2015,5.88705,119,114.5,22.8,2.4015,86.5,23.7,124.6,NA,107.779
bo ��you 818,Indica hybrid,Hainan,2015,6.84915,123.5,105.2,23.1,2.202,79.8,25.4,152.1,NA,121.3758
long liang you 750,Indica hybrid,Hainan,2015,5.71875,115,102.7,22.1,2.397,78,27.2,119.4,NA,93.132
ming liang you 143,Indica hybrid,Hainan,2015,6.6987,132,97.8,21.9,2.892,82.3,26.8,126.9,NA,104.4387
chuan nong you 177,Indica hybrid,Yunnan,2015,10.2375,158.5,106.1,24.09,2.54025,NA,30.48,NA,2.8,130.1
hua you 528,Indica hybrid,Yunnan,2015,10.3605,158.5,107.8,25.35,2.508,NA,30.5,NA,2.9,142.9
rong you 33,Indica hybrid,Yunnan,2015,10.062,155.5,103,24.3,2.5335,NA,30.13,NA,3,143.4
yi you 1109,Indica hybrid,Yunnan,2015,9.99,157.5,106.8,24.68,2.811,NA,32.51,NA,2.9,109.72
long te you 927,Indica hybrid,Yunnan,2015,9.8985,160.5,114.6,24.37,2.493,NA,31.05,NA,2.4,150.5
lv you 171,Indica hybrid,Shaanxi,2015,7.9485,155,101.3,23.8,2.2455,80.69,23.3,173.4,2.9,139.8
zhong you 145,Indica hybrid,Shaanxi,2015,7.953,153.2,111.8,NA,NA,76.6,26.6,NA,NA,NA
luxiang 145,Indica hybrid,Shaanxi,2015,8.0385,152.3,99,NA,NA,69.81,26.7,NA,NA,NA
zhong you 186,Indica hybrid,Shaanxi,2015,7.6425,155.6,96.1,23.4,NA,81.9,26.8,153.4,3.1,125.6
Gyou 515,Indica hybrid,Shaanxi,2015,8.007,151.7,99.15,23.15,2.103,85.03,29.1,143.9,2.6,122.35817
tai you 058,Indica hybrid,Shaanxi,2015,8.0625,152.6,105,24.3,2.286,77,26.3,149,3.2,115
chuan gu you 2516,Indica hybrid,Shaanxi,2015,8.5035,152.7,122,26.4,2.55,81.03,28.5,163,3,132
jin zhuo xiang 1 hao ,Indica hybrid,Shaanxi,2015,9.534,155,118.2,NA,NA,89.3,29.8,179.3,3.6,160.1149
liang you 687,Indica hybrid,Shaanxi,2015,8.5935,154.1,116.65,25,NA,73.165,28.7,183.7,3.3,136.5
lv you 3003,Indica hybrid,Shaanxi,2015,9.1665,153.5,123.6,25.5,2.385,82.9,28.5,174.5,3.1,144.6
chuan zhong you 2727,Indica hybrid,Shaanxi,2015,9.192,155.8,113.4,25.7,2.4165,83.45,29.07,159.8,3.7,133.3531
tai xiang 199,Indica hybrid,Shaanxi,2015,8.685,157,114.5,NA,NA,76.89,27.9,187.1,2.7,143.8
Cliang you hua zhan ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.6585,136.1,112.5,24.4,2.775,81.2,23,199.6,3.1,162.0752
Yliang you 900,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.4005,140.7,119.7,27.7,2.235,78.3,24.4,238.2,3,186.5106
long liang you hua zhan ,Indica hybrid,Hunan,2015,8.91645,144.7,115,NA,2.34,83.1,25.3,199,3.3,165.7
Cliang you hua zhan ,Indica hybrid,Jiangxi,2015,9.1272,123,109.7,23.9,2.88,83.7,21.9,186,3.3,155.7
long liang you hua zhan ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2015,9.7395,140.1,121.1,24.5,2.715,81.9,23.8,193,3.1,158.067
jing liang you hua zhan ,Indica hybrid,Hunan,2015,8.81655,126.8,120,NA,2.91,77.9,23.2,172.7,3.2,134.5333
long liang you hua zhan ,Indica hybrid,Jiangxi,2015,9.0018,127.7,118.5,23.7,2.775,82.7,23.6,175.3,3.4,144.9
wu shan si miao ,Indica inbred,Shaanxi,2015,8.01,147.6,103.9,22.7,2.703,82.05,24.8,154.5,3.2,126.8
xiang zao 143,Indica inbred,Fujian,2016,6.33,112.9,92.9,19.8,2.805,86.29,26.3,110.1,3.2,95.00529
wu you dao 4 hao ,Japonica inbred,Jilin,2016,7.7234,143,122.1,19.5,4.095,78.4,27.7,NA,2.7,NA
bei dao 1 hao ,Japonica inbred,Heilongjiang,2016,8.388,NA,92,17.6,NA,NA,25.8,NA,NA,NA
wu shan si miao ,Indica inbred,Anhui,2016,8.90715,132,112,NA,2.85,84,23,187,NA,157.08
sheng dao 18,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2016,9.6354,160.1,95.9,17.3,NA,86.1,24.7,156.4,NA,134.6604
ning jing 7 hao ,Japonica inbred,Jiangsu,2016,10.0035,156.9,97.7,NA,3.045,90.6,25.8,NA,NA,134.2
jin yu jing 18,Japonica inbred,Tianjin,2016,9.657,173,104.2,19.5,2.055,93.1,30.8,185.4,NA,172.6074
zhong jing 133,Japonica inbred,Neimeng,2016,8.229,145,95,16.5,NA,NA,20,NA,NA,NA
ji yuan jing dao 9,Japonica inbred,Neimeng,2016,9.138,144,99,20,NA,NA,24,NA,NA,NA
nong xiang 24,Indica inbred,Hunan,2016,7.3485,118,113.5,NA,3.3,89.2,28,118,3.7,105.256
zao xian618,Indica inbred,Anhui,2016,7.635,108,86,NA,3.45,80,26,114,NA,91.2
zao xian899,Indica inbred,Anhui,2016,7.6215,108,90,NA,3.45,83,27,107,NA,88.81
shang nong jing 2 hao ,Japonica inbred,Anhui,2016,9.765,129,87,NA,3.9,89,27,114,NA,101.46
yue xin you zhan ,Indica inbred,Guangdong,2016,6.42795,128,98.1,21.55,3.0825,85.2,20.35,128.5,3.2,109.482
nong jing si miao ,Indica inbred,Guangdong,2016,6.5406,126.5,106.15,21.75,3.015,86.85,21.35,129.5,3.4,112.47075
hua hang 38 hao ,Indica inbred,Guangdong,2016,6.3012,127,106,22.5,2.6775,85.1,24.2,126.5,3.3,107.6515
nan gui zhan ,Indica inbred,Guangdong,2016,6.6888,128,106.7,22,2.9025,86.8,20.55,143.5,3.4,124.558
tai jing 140,Japonica inbred,Fujian,2016,8.2275,131,106.5,21.7,2.985,92.5,25.5,145.4,1.8,134.495
dong zao 19,Indica inbred,Hubei,2016,7.41405,116,92,21.1,3.165,76.5,29.53,119.2,2.6,91.2
WDR48,Japonica inbred,Hubei,2016,7.80885,121.7,80.3,13.8,3.15,84.7,26.59,126.7,1.7,107.3
tian yuan jing 036,Japonica inbred,Hubei,2016,8.55825,121.9,78.9,16,3.435,83.9,28.64,122.9,1.8,103.1
jia 67,Japonica inbred,Zhejiang,2016,9.9375,160,94.1,15.4,3.045,89.9,25.2,134.9,1.8,121.3
zhe jing 86,Japonica inbred,Zhejiang,2016,9.3825,159.8,95.3,15,3.075,91.2,25.5,126.7,1.8,115.5
zhe jing 70,Japonica inbred,Zhejiang,2016,9.306,160.3,97.9,14.9,2.91,86.9,25.1,140.1,1.7,121.8
zhe jing 99,Japonica inbred,Zhejiang,2016,9.453,157,94.8,15.9,3.09,90.3,25.1,135.4,1.8,122.3
zhe you 21,Japonica hybrid,Zhejiang,2016,10.626,161.1,128.1,19.9,1.86,86.9,23.3,286,2,248.5
zhe you 19,Japonica hybrid,Zhejiang,2016,10.566,160.3,118.3,19.6,1.89,82,24.2,289.5,1.9,237.4
jiu xiang zhan ,Indica inbred,Jiangxi,2016,8.076,132.9,124,25.4,2.775,84,26.5,151.6,3.4,127.4
dong hu hong mi ,Indica inbred,Jiangxi,2016,7.7025,130,112.1,21.3,3.51,85,20.4,140.8,3.3,119.7
chun feng hong zhan ,Indica inbred,Jiangxi,2016,7.2939,115,90.5,22.2,3.24,85.4,21.6,149.5,2.7,127.7
mei xiang xin zhan ,Indica inbred,Jiangxi,2016,8.2068,122.4,89.8,20.4,3.54,74.3,21.3,155.3,3.5,115.4
bi jing you 3 hao ,Japonica hybrid,Guizhou,2016,7.7553,160.7,103.4,20.97,2.6265,79.57,24.59,NA,2.6,NA
song liao 838,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2016,8.55285,148.7,103.6,17.7,NA,92,23.4,129.8,NA,119.416
tian long you 619,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2016,10.7871,157.3,109.5,17.6,NA,87.3,27.8,111.2,NA,97.0776
liang jing 10 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2016,10.5447,154.3,103.2,15.4,4.83,88.2,24.1,109.6,NA,96.6672
huai dao 20 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2016,9.97545,161.7,108.2,16.6,NA,82.5,26.6,169.6,NA,139.92
jin dao 565,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2016,9.8904,157.8,103.8,17.2,NA,81.9,24.1,177.8,NA,145.6182
jin jing 667,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2016,10.01985,160.6,107.7,16.7,NA,86.5,26,156.9,NA,135.7185
zi xiang you 24,Japonica hybrid,Shanghai,2016,9.987,162.3,112.9,NA,2.67,90.7,28,155,NA,140.585
jiao yuan you 1 hao ,Japonica hybrid,Shanghai,2016,10.323,163.1,106.7,18.2,2.625,90.5,28,175.4,NA,158.737
hu han 61,Japonica inbred,Shanghai,2016,9.4815,161.6,95.1,14.3,3.21,90.4,25.8,132.7,NA,119.9608
jin nong xiang jing 1267,Japonica inbred,Shanghai,2016,10.4985,157.3,95.5,15.6,3.09,93.4,NA,131.4,NA,122.7276
long dao 24,Japonica inbred,Heilongjiang,2016,8.4275,NA,99.2,17.5,NA,NA,24,NA,NA,NA
long dao 25,Japonica inbred,Heilongjiang,2016,8.2876,NA,105.2,18.9,NA,NA,25.6,NA,NA,NA
long dao 26,Japonica inbred,Heilongjiang,2016,8.4122,NA,94.3,18.6,NA,NA,25,NA,NA,NA
song jing 22,Japonica inbred,Heilongjiang,2016,8.2514,NA,110,20.3,NA,NA,27,NA,NA,NA
long qing dao 6 hao ,Japonica inbred,Heilongjiang,2016,8.7995,NA,99,18.3,NA,NA,27.3,NA,NA,NA
long qing dao 5 hao ,Japonica inbred,Heilongjiang,2016,9.067,NA,88,16.5,NA,NA,27,NA,NA,NA
jiu dao 77,Japonica inbred,Jilin,2016,8.5676,131,101.3,18.6,3.96,92.7,23.9,NA,2,NA
ji da 818,Japonica inbred,Jilin,2016,8.6932,136,104.9,16.7,3.51,92,24.3,NA,1.7,NA
tong ke 37,Japonica inbred,Jilin,2016,8.6099,137,108.4,19,3.27,87.5,25.7,NA,1.8,NA
yan jing 30,Japonica inbred,Jilin,2016,8.6741,137,102.2,19.3,3.345,89.7,25.9,NA,2.1,NA
ji jing 303,Japonica inbred,Jilin,2016,8.5983,136,103.8,17.6,3.51,92.2,26.8,NA,1.8,NA
ji jing 515,Japonica inbred,Jilin,2016,9.1656,142,111,18.3,3.66,87.5,25,NA,1.7,NA
tong xi 935,Japonica inbred,Jilin,2016,9.1384,140,108.4,21,3.51,91.9,25.9,NA,1.7,NA
chang jing 717,Japonica inbred,Jilin,2016,9.0342,143,104.5,19.4,3.12,92.1,25.6,NA,2.1,NA
tong yuan xiang 518,Japonica inbred,Jilin,2016,8.7775,140,113.6,19.8,3.42,93.2,26.2,NA,2.5,NA
tong yu 266,Japonica inbred,Jilin,2016,9.0354,145,107,18.4,3.525,93,23.3,NA,1.6,NA
ken yu 118,Japonica inbred,Hebei,2016,10.4406,167.5,103.6,16.9,NA,93.3,27.6,NA,NA,122.2
he xin5 hao ,Indica inbred,Guangxi,2016,6.951,124,114.5,23.8,2.385,84,20.9,186.3,3.6,156.492
hui ze 8 hao ,Indica inbred,Guangxi,2016,7.5795,121.8,108.5,22.2,2.55,88.4,18.1,147,4.2,129.948
zao xian108,Indica inbred,Anhui,2016,7.3275,108,76.5,NA,3.555,80.8,25.4,111,NA,89.688
zao xian110,Indica inbred,Anhui,2016,7.197,110,89.3,NA,3.45,81.6,25,116,NA,94.656
xuan jing 2 hao ,Japonica inbred,Anhui,2016,9.18,132,90.3,NA,3.63,91.5,27.4,106.8,NA,97.722
wan ken jing 1 hao ,Japonica inbred,Anhui,2016,9.42,136,91.6,NA,3.345,85.7,28.7,119.1,NA,102.0687
